id,liters,pricePerLiter,totalCost,dateTime,odometerReading
7d64b298-cb69-480b-82c3-57759d377198,4.0,124.0,496.0,2025-03-01T13:24:12.564490,5130.0
beea61e2-4bb7-4d6c-8a69-08dcdbba5565,11.47,122.0,1399.3400000000001,2025-03-15T10:15:08.370088,5290.0
e18a5849-3c84-474b-ae1c-1b1c9bab9a0e,8.2,122.0,1000.3999999999999,2025-03-30T11:46:24.671967,5697.0
c44df29b-3b58-4bed-93c1-41298b47d90d,5.0,122.0,610.0,2025-04-13T18:34:05.523695,6002.0
a2ae3b9d-09f3-4c74-a3ea-8bbb1a926735,5.6,122.0,683.1999999999999,2025-04-29T14:12:26.965215,6187.0
06d308d1-27ae-48bb-866c-c66e3473d19f,6.46,122.0,788.12,2025-05-13T16:13:50.900897,6414.0
08ca9737-3f8b-43f7-993a-b91c385ed6a6,4.22,122.0,514.8399999999999,2025-05-28T12:52:24.232488,6673.0
d52093da-e2d6-4116-8914-a30ccd5b4756,7.84,122.0,956.48,2025-06-11T10:09:29.470995,6849.0
35f19974-fb8a-4b93-b20f-e52c59478b5e,14.6,122.0,1781.2,2025-06-25T20:36:21.828759,7130.0
d7230558-cb20-4f8e-910b-a9e66ce79163,12.13,122.0,1479.8600000000001,2025-07-07T18:33:43.599272,7690.0
398829a8-3d02-441e-853e-596346d24f72,9.68,122.0,1180.96,2025-07-24T14:20:25.158529,8121.0
35a64784-5f12-43fb-bbfd-179c04c7fb2f,8.19,122.0,999.18,2025-08-05T15:00:27.237286,8477.0
1e642e6e-b0a5-47ec-9946-17b6b72f8f1a,10.65,122.0,1299.3,2025-08-20T21:34:05.874430,8795.0
645ec273-d363-4788-a66f-7e28b954e0a8,9.67,122.0,1179.74,2025-09-05T21:12:38.853258,9173.0
18806af7-e740-4e70-a360-c64f99506233,7.75,122.0,945.5,2025-09-19T07:22:08.728797,9528.0
68196762-3900-4f0c-8131-ee826acd6ac1,7.6,122.0,927.1999999999999,2025-10-03T21:45:10.916779,9838.0
c3aa8eb4-5c1d-454d-b3cc-bc608523961c,3.56,122.0,434.32,2025-10-19T14:38:59.883518,10135.0
839b6cb5-ab3f-4e2e-85b5-11e54919fe8a,11.07,122.0,1350.54,2025-11-04T15:42:11.257747,10266.0
86d6bd75-45f8-486d-af66-874262205946,11.96,122.0,1459.1200000000001,2025-11-14T07:10:30.737570,10703.0
2b0bc00a-18f0-451b-a6a3-e765eb83e09f,9.18,122.0,1119.96,2025-12-01T13:05:59.528133,11195.0
5f5d7539-9b1a-4506-893c-d9817704c53e,11.25,122.0,1372.5,2025-12-15T08:09:19.230408,11519.0
6456d993-febf-40c5-b537-5b5e547a2316,8.87,122.0,1082.1399999999999,2025-12-30T13:21:08.201170,11981.0
cb485bb4-2498-4d0e-a46a-73761b54d15d,10.49,122.0,1279.78,2026-01-13T10:57:50.224481,12338.0
a5bbddcc-bb9c-47da-bb63-9b61a448fa4e,8a.2,122.0,1000.3999999999999,2026-01-28T07:40:13.250640,12734.0
